====================================================================================================
  TEMPORAL CV — RESULTS SUMMARY
====================================================================================================
  CV strategy  : Expanding-window TimeSeriesSplit  (k=5)
  Primary n    : 100 features per text field
  Models       : ['linear', 'ridge', 'lasso', 'randomforest', 'xgboost', 'mlp']
  Encodings    : ['only_structured', 'label', 'count', 'tfidf', 'clinicalbert', 'sentencebert']

----------------------------------------------------------------------------------------------------
  PER-FOLD RESULTS  (n=100, all models)
----------------------------------------------------------------------------------------------------
  Model          Encoding              Fold       MAE    SMAPE       R²     RMSE
  ------------------------------------------------------------------------------
  linear         Structured only          0    47.056   42.476   0.6645   65.850
  linear         Structured only          1    46.547   45.509   0.6617   64.666
  linear         Structured only          2    46.721   47.174   0.6439   63.144
  linear         Structured only          3    48.550   49.066   0.6038   66.598
  linear         Structured only          4    48.322   43.665   0.6170   65.789
  linear         Label                    0    43.011   40.080   0.7038   61.872
  linear         Label                    1    42.079   42.331   0.7111   59.759
  linear         Label                    2    42.573   44.667   0.6967   58.276
  linear         Label                    3    44.142   46.381   0.6608   61.621
  linear         Label                    4    43.776   41.097   0.6773   60.389
  linear         Count                    0    42.844   40.088   0.7113   61.090
  linear         Count                    1    42.092   42.630   0.7117   59.695
  linear         Count                    2    41.925   43.975   0.7063   57.345
  linear         Count                    3    43.649   45.782   0.6681   60.958
  linear         Count                    4    43.744   40.934   0.6766   60.457
  linear         TF-IDF                   0    42.883   40.085   0.7103   61.192
  linear         TF-IDF                   1    42.215   42.653   0.7095   59.923
  linear         TF-IDF                   2    42.113   44.041   0.7027   57.688
  linear         TF-IDF                   3    43.856   45.816   0.6642   61.313
  linear         TF-IDF                   4    43.942   40.985   0.6720   60.883
  linear         ClinicalBERT             0    41.239   39.381   0.7334   58.704
  linear         ClinicalBERT             1    40.571   41.381   0.7319   57.569
  linear         ClinicalBERT             2    40.352   42.625   0.7328   54.692
  linear         ClinicalBERT             3    41.645   43.793   0.6977   58.174
  linear         ClinicalBERT             4    42.267   40.157   0.6973   58.491
  linear         Sentence-BERT            0    41.497   39.332   0.7300   59.073
  linear         Sentence-BERT            1    40.996   41.785   0.7283   57.950
  linear         Sentence-BERT            2    41.323   43.491   0.7201   55.977
  linear         Sentence-BERT            3    42.278   44.542   0.6925   58.674
  linear         Sentence-BERT            4    42.283   39.993   0.6994   58.287
  ridge          Structured only          0    47.056   42.475   0.6645   65.850
