================================================================================
  MODEL: LINEAR  |  CV: HOSPITAL
================================================================================

PER-FOLD RESULTS
  Encoding                n  Fold FoldLabel                         MAE    SMAPE       R²     RMSE   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------------------
  clinicalbert          100     0 OB_VH                          54.026   57.479  -0.1640   63.024       0.23     0.0004
  clinicalbert          100     1 Procedure_Room                132.802   39.981  -1.6290  159.711       0.21     0.0002
  clinicalbert          100     2 Recovery                       75.946   47.558   0.4944   80.701       0.20     0.0002
  clinicalbert          100     3 UH_OR                          51.718   39.459   0.5856   76.678       0.10     0.0060
  clinicalbert          100     4 VH_OR                          55.090   56.780   0.4731   72.055       0.07     0.0066
  clinicalbert          100     5 VSC_OR                         40.299   84.197  -0.6169   50.773       0.24     0.0009
  count                 100     0 OB_VH                          56.557   60.031  -0.2677   65.771       0.25     0.0004
  count                 100     1 Procedure_Room                141.734   43.737  -1.8397  165.987       0.18     0.0002
  count                 100     2 Recovery                       68.393   42.431   0.5761   73.897       0.20     0.0002
  count                 100     3 UH_OR                          50.157   33.374   0.5910   76.174       0.16     0.0076
  count                 100     4 VH_OR                          50.101   50.842   0.5282   68.181       0.14     0.0077
  count                 100     5 VSC_OR                         42.563   90.955  -0.7576   52.936       0.24     0.0006
  label                 100     0 OB_VH                          58.772   61.320  -0.3382   67.576       0.32     0.0004
  label                 100     1 Procedure_Room                111.460   32.918  -0.6710  127.329       0.24     0.0004
  label                 100     2 Recovery                       55.045   24.692   0.5609   75.208       0.24     0.0002
  label                 100     3 UH_OR                          51.826   34.010   0.5659   78.475       0.12     0.0046
  label                 100     4 VH_OR                          50.971   52.080   0.5359   67.621       0.12     0.0093
  label                 100     5 VSC_OR                         45.667   98.309  -0.9775   56.150       0.23     0.0006
  only_structured    struct     0 OB_VH                          60.821   62.632  -0.4546   70.452       0.06     0.0003
  only_structured    struct     1 Procedure_Room                103.899   29.883  -0.5375  122.134       0.06     0.0002
  only_structured    struct     2 Recovery                      104.429   61.877  -0.2520  126.999       0.05     0.0002
  only_structured    struct     3 UH_OR                          52.684   36.431   0.5822   76.985       0.04     0.0014
  only_structured    struct     4 VH_OR                          52.329   58.079   0.5317   67.925       0.05     0.0027
  only_structured    struct     5 VSC_OR                         47.037   99.639  -1.1165   58.090       0.05     0.0003
  sentencebert          100     0 OB_VH                          52.153   55.575  -0.0999   61.265       0.30     0.0004
  sentencebert          100     1 Procedure_Room                103.676   28.895  -0.8540  134.118       0.30     0.0002
  sentencebert          100     2 Recovery                       61.079   32.453   0.5524   75.936       0.20     0.0002
  sentencebert          100     3 UH_OR                          53.744   36.109   0.5701   78.094       0.11     0.0047
  sentencebert          100     4 VH_OR                          52.702   57.992   0.5059   69.772       0.09     0.0070
  sentencebert          100     5 VSC_OR                         41.204   85.424  -0.6875   51.870       0.19     0.0006
  tfidf                 100     0 OB_VH                          56.807   60.163  -0.2715   65.868       0.31     0.0003
  tfidf                 100     1 Procedure_Room                143.418   44.470  -1.8778  167.096       0.26     0.0002
  tfidf                 100     2 Recovery                       68.967   42.643   0.5659   74.778       0.18     0.0002
  tfidf                 100     3 UH_OR                          50.191   33.460   0.5929   75.994       0.20     0.0047
  tfidf                 100     4 VH_OR                          51.196   51.568   0.5059   69.774       0.17     0.0131
  tfidf                 100     5 VSC_OR                         42.174   90.148  -0.7357   52.606       0.26     0.0007


AGGREGATED SUMMARY  (mean ± std across 6 folds)
  Encoding                n   MAE mean    ±   SMAPE mean    ±   R² mean    ±   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------
  sentencebert          100     60.760 21.966       49.408 21.420   -0.0022 0.6478       0.20     0.0022
  label                 100     62.290 24.480       50.555 27.027   -0.0540 0.6964       0.21     0.0026
  count                 100     68.251 37.022       53.562 20.374   -0.1949 0.9759       0.20     0.0028
  clinicalbert          100     68.313 33.634       54.242 16.618   -0.1428 0.8660       0.17     0.0024
  tfidf                 100     68.792 37.621       53.742 19.959   -0.2034 0.9819       0.23     0.0032
  only_structured    struct     70.200 26.676       58.090 24.601   -0.2078 0.6585       0.05     0.0009
