================================================================================
  MODEL: LASSO  |  CV: TEMPORAL
================================================================================

PER-FOLD RESULTS
  Encoding                n  Fold FoldLabel                         MAE    SMAPE       R²     RMSE   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------------------
  clinicalbert          100     0 0                              41.239   39.379   0.7334   58.705      10.18     0.0048
  clinicalbert          100     1 1                              40.570   41.380   0.7319   57.570       2.82     0.0072
  clinicalbert          100     2 2                              40.351   42.623   0.7328   54.691      15.15     0.0058
  clinicalbert          100     3 3                              41.674   43.871   0.6974   58.200      25.24     0.0047
  clinicalbert          100     4 4                              42.263   40.154   0.6973   58.488      31.55     0.0049
  count                 100     0 0                              42.845   40.083   0.7113   61.088      21.15     0.0031
  count                 100     1 1                              42.110   42.632   0.7117   59.693      12.56     0.0059
  count                 100     2 2                              41.856   43.909   0.7070   57.270      30.93     0.0220
  count                 100     3 3                              43.612   45.753   0.6685   60.918      36.77     0.0112
  count                 100     4 4                              43.653   40.872   0.6782   60.310      32.79     0.0051
  label                 100     0 0                              43.044   40.055   0.7038   61.875       7.90     0.0051
  label                 100     1 1                              42.078   42.318   0.7111   59.755      20.70     0.0089
  label                 100     2 2                              42.576   44.630   0.6967   58.267      11.77     0.0062
  label                 100     3 3                              44.184   46.437   0.6604   61.658      31.65     0.0060
  label                 100     4 4                              43.779   41.089   0.6773   60.390      36.70     0.0221
  only_structured    struct     0 0                              47.054   42.472   0.6645   65.849       4.31     0.0017
  only_structured    struct     1 1                              46.545   45.505   0.6617   64.664       7.71     0.0029
  only_structured    struct     2 2                              46.723   47.181   0.6438   63.148       2.65     0.0018
  only_structured    struct     3 3                              48.484   48.907   0.6045   66.540       8.55     0.0018
  only_structured    struct     4 4                              48.319   43.665   0.6171   65.787       8.04     0.0021
  sentencebert          100     0 0                              41.497   39.331   0.7300   59.073      20.27     0.0064
  sentencebert          100     1 1                              40.993   41.777   0.7283   57.949      29.57     0.0115
  sentencebert          100     2 2                              41.327   43.510   0.7198   56.009      21.45     0.0253
  sentencebert          100     3 3                              42.313   44.642   0.6922   58.701       2.69     0.0052
  sentencebert          100     4 4                              42.280   39.994   0.6994   58.285      25.62     0.0067
  tfidf                 100     0 0                              42.893   40.082   0.7103   61.197      40.13     0.0154
  tfidf                 100     1 1                              42.222   42.639   0.7096   59.913      36.02     0.0241
  tfidf                 100     2 2                              41.954   43.891   0.7047   57.502      18.31     0.0471
  tfidf                 100     3 3                              43.701   45.679   0.6661   61.141      30.16     0.0060
  tfidf                 100     4 4                              43.667   40.744   0.6754   60.569      31.02     0.0305


AGGREGATED SUMMARY  (mean ± std across 5 folds)
  Encoding                n   MAE mean    ±   SMAPE mean    ±   R² mean    ±   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------
  clinicalbert          100     41.220 0.786       41.482 1.817    0.7186 0.0193      16.99     0.0055
  sentencebert          100     41.682 0.590       41.851 2.255    0.7140 0.0172      19.92     0.0110
  count                 100     42.815 0.830       42.650 2.290    0.6953 0.0205      26.84     0.0095
  tfidf                 100     42.887 0.804       42.607 2.288    0.6932 0.0209      31.13     0.0246
  label                 100     43.132 0.859       42.906 2.609    0.6899 0.0207      21.74     0.0097
  only_structured    struct     47.425 0.912       45.546 2.596    0.6383 0.0267       6.25     0.0021
