================================================================================
  MODEL: LINEAR  |  CV: TEMPORAL
================================================================================

PER-FOLD RESULTS
  Encoding                n  Fold FoldLabel                         MAE    SMAPE       R²     RMSE   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------------------
  clinicalbert          100     0 0                              41.239   39.381   0.7334   58.704       0.05     0.0018
  clinicalbert          100     1 1                              40.571   41.381   0.7319   57.569       0.06     0.0024
  clinicalbert          100     2 2                              40.352   42.625   0.7328   54.692       0.09     0.0018
  clinicalbert          100     3 3                              41.645   43.793   0.6977   58.174       0.12     0.0019
  clinicalbert          100     4 4                              42.267   40.157   0.6973   58.491       0.15     0.0028
  count                 100     0 0                              42.844   40.088   0.7113   61.090       0.03     0.0020
  count                 100     1 1                              42.092   42.630   0.7117   59.695       0.07     0.0020
  count                 100     2 2                              41.925   43.975   0.7063   57.345       0.09     0.0018
  count                 100     3 3                              43.649   45.782   0.6681   60.958       0.12     0.0022
  count                 100     4 4                              43.744   40.934   0.6766   60.457       0.17     0.0022
  label                 100     0 0                              43.011   40.080   0.7038   61.872       0.04     0.0023
  label                 100     1 1                              42.079   42.331   0.7111   59.759       0.06     0.0018
  label                 100     2 2                              42.573   44.667   0.6967   58.276       0.08     0.0019
  label                 100     3 3                              44.142   46.381   0.6608   61.621       0.12     0.0023
  label                 100     4 4                              43.776   41.097   0.6773   60.389       0.15     0.0021
  only_structured    struct     0 0                              47.056   42.476   0.6645   65.850       0.01     0.0008
  only_structured    struct     1 1                              46.547   45.509   0.6617   64.666       0.02     0.0008
  only_structured    struct     2 2                              46.721   47.174   0.6439   63.144       0.03     0.0008
  only_structured    struct     3 3                              48.550   49.066   0.6038   66.598       0.04     0.0008
  only_structured    struct     4 4                              48.322   43.665   0.6170   65.789       0.05     0.0009
  sentencebert          100     0 0                              41.497   39.332   0.7300   59.073       0.03     0.0018
  sentencebert          100     1 1                              40.996   41.785   0.7283   57.950       0.06     0.0018
  sentencebert          100     2 2                              41.323   43.491   0.7201   55.977       0.09     0.0018
  sentencebert          100     3 3                              42.278   44.542   0.6925   58.674       0.12     0.0022
  sentencebert          100     4 4                              42.283   39.993   0.6994   58.287       0.15     0.0024
  tfidf                 100     0 0                              42.883   40.085   0.7103   61.192       0.03     0.0023
  tfidf                 100     1 1                              42.215   42.653   0.7095   59.923       0.07     0.0018
  tfidf                 100     2 2                              42.113   44.041   0.7027   57.688       0.09     0.0018
  tfidf                 100     3 3                              43.856   45.816   0.6642   61.313       0.12     0.0022
  tfidf                 100     4 4                              43.942   40.985   0.6720   60.883       0.15     0.0018


AGGREGATED SUMMARY  (mean ± std across 5 folds)
  Encoding                n   MAE mean    ±   SMAPE mean    ±   R² mean    ±   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------
  clinicalbert          100     41.215 0.783       41.468 1.791    0.7186 0.0193       0.09     0.0021
  sentencebert          100     41.675 0.581       41.829 2.221    0.7141 0.0171       0.09     0.0020
  count                 100     42.851 0.847       42.682 2.295    0.6948 0.0208       0.10     0.0020
  tfidf                 100     43.002 0.871       42.716 2.307    0.6918 0.0220       0.09     0.0020
  label                 100     43.116 0.847       42.911 2.587    0.6899 0.0206       0.09     0.0021
  only_structured    struct     47.439 0.932       45.578 2.646    0.6382 0.0270       0.03     0.0008
