================================================================================
  MODEL: MLP  |  CV: TEMPORAL
================================================================================

PER-FOLD RESULTS
  Encoding                n  Fold FoldLabel                         MAE    SMAPE       R²     RMSE   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------------------
  clinicalbert          100     0 0                              27.409   22.122   0.8431   45.037      38.40     0.7715
  clinicalbert          100     1 1                              27.606   23.526   0.8481   43.337      92.43     0.2398
  clinicalbert          100     2 2                              26.107   22.088   0.8585   39.800      71.02     0.7984
  clinicalbert          100     3 3                              27.388   22.725   0.8279   43.893      48.73     0.3449
  clinicalbert          100     4 4                              27.948   22.541   0.8319   43.587      29.10     0.1010
  count                 100     0 0                              31.717   26.261   0.8128   49.195      71.72     0.5193
  count                 100     1 1                              29.359   24.665   0.8299   45.860     117.95     0.8207
  count                 100     2 2                              28.433   24.184   0.8303   43.586      92.66     0.7091
  count                 100     3 3                              30.352   25.270   0.7990   47.439      23.27     0.1070
  count                 100     4 4                              29.990   24.275   0.8123   46.056      69.75     0.1656
  label                 100     0 0                              32.125   26.123   0.8038   50.360      66.31     1.1014
  label                 100     1 1                              30.134   25.289   0.8206   47.095      92.59     0.4951
  label                 100     2 2                              29.803   24.955   0.8119   45.884     204.72     1.9545
  label                 100     3 3                              31.524   25.771   0.7848   49.084      73.24     0.3512
  label                 100     4 4                              31.214   24.958   0.7941   48.246     126.12     0.3974
  only_structured    struct     0 0                              37.627   31.683   0.7617   55.503      55.42     0.1473
  only_structured    struct     1 1                              35.214   29.934   0.7788   52.289     131.08     0.7424
  only_structured    struct     2 2                              33.972   28.662   0.7714   50.591     153.01     1.8721
  only_structured    struct     3 3                              36.356   30.398   0.7373   54.228      44.14     0.2069
  only_structured    struct     4 4                              36.705   30.290   0.7484   53.328      49.99     0.1988
  sentencebert          100     0 0                              27.375   22.280   0.8451   44.750      94.32     0.7877
  sentencebert          100     1 1                              26.775   22.453   0.8530   42.630      75.86     0.6695
  sentencebert          100     2 2                              26.476   22.355   0.8546   40.349     200.41     1.5591
  sentencebert          100     3 3                              27.143   22.429   0.8329   43.252      66.96     0.2384
  sentencebert          100     4 4                              28.152   22.995   0.8363   43.018      46.27     0.1358
  tfidf                 100     0 0                              31.937   26.447   0.8102   49.529      91.34     1.2070
  tfidf                 100     1 1                              29.359   24.687   0.8298   45.863      71.81     0.7064
  tfidf                 100     2 2                              29.356   25.057   0.8253   44.219      61.48     0.3445
  tfidf                 100     3 3                              30.395   24.971   0.7979   47.571      50.59     0.2267
  tfidf                 100     4 4                              31.086   25.158   0.8032   47.160      88.58     0.3433


AGGREGATED SUMMARY  (mean ± std across 5 folds)
  Encoding                n   MAE mean    ±   SMAPE mean    ±   R² mean    ±   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------
  sentencebert          100     27.184 0.641       22.502 0.284    0.8444 0.0097      96.76     0.6781
  clinicalbert          100     27.292 0.699       22.600 0.585    0.8419 0.0124      55.94     0.4511
  count                 100     29.970 1.218       24.931 0.858    0.8168 0.0133      75.07     0.4643
  tfidf                 100     30.426 1.119       25.264 0.684    0.8133 0.0139      72.76     0.5656
  label                 100     30.960 0.970       25.419 0.516    0.8030 0.0141     112.59     0.8599
  only_structured    struct     35.975 1.414       30.193 1.082    0.7595 0.0168      86.73     0.6335
