================================================================================
  MODEL: RANDOMFOREST  |  CV: TEMPORAL
================================================================================

PER-FOLD RESULTS
  Encoding                n  Fold FoldLabel                         MAE    SMAPE       R²     RMSE   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------------------
  clinicalbert          100     0 0                              29.808   24.053   0.8257   47.468      10.52     0.1560
  clinicalbert          100     1 1                              28.877   24.298   0.8319   45.586      20.01     0.1409
  clinicalbert          100     2 2                              27.803   23.517   0.8441   41.779      57.09     0.2179
  clinicalbert          100     3 3                              29.361   23.904   0.8105   46.057      56.15     0.2465
  clinicalbert          100     4 4                              29.354   23.614   0.8176   45.399      66.18     0.2142
  count                 100     0 0                              33.642   27.587   0.7971   51.208       0.90     0.0781
  count                 100     1 1                              32.676   27.746   0.8016   49.517       5.18     0.1882
  count                 100     2 2                              31.926   27.069   0.7988   47.464      15.69     0.1967
  count                 100     3 3                              33.576   27.553   0.7653   51.263      23.82     0.2077
  count                 100     4 4                              33.918   27.765   0.7764   50.274      49.16     0.3744
  label                 100     0 0                              34.608   28.406   0.7870   52.466       1.58     0.1449
  label                 100     1 1                              33.362   28.328   0.7944   50.405      15.91     0.4080
  label                 100     2 2                              32.905   28.026   0.7888   48.622      10.24     0.2287
  label                 100     3 3                              34.520   28.412   0.7570   52.161      15.55     0.1876
  label                 100     4 4                              34.262   28.042   0.7721   50.753      49.43     0.3960
  only_structured    struct     0 0                              37.250   30.683   0.7655   55.054       0.92     0.1404
  only_structured    struct     1 1                              35.909   30.386   0.7703   53.283       7.28     0.4278
  only_structured    struct     2 2                              34.911   29.319   0.7630   51.507       6.10     0.1972
  only_structured    struct     3 3                              36.301   29.631   0.7325   54.727       9.20     0.1978
  only_structured    struct     4 4                              36.401   29.627   0.7479   53.378      17.01     0.3269
  sentencebert          100     0 0                              29.378   23.574   0.8288   47.038      10.72     0.2197
  sentencebert          100     1 1                              28.455   23.970   0.8361   45.007      17.81     0.1934
  sentencebert          100     2 2                              27.690   23.465   0.8451   41.643      32.52     0.2336
  sentencebert          100     3 3                              29.220   23.854   0.8121   45.861      40.84     0.1955
  sentencebert          100     4 4                              29.297   23.621   0.8190   45.225      48.40     0.5981
  tfidf                 100     0 0                              33.616   27.396   0.7956   51.400       1.53     0.0915
  tfidf                 100     1 1                              32.555   27.633   0.8020   49.467       4.74     0.1739
  tfidf                 100     2 2                              32.012   27.397   0.8012   47.176      12.62     0.2292
  tfidf                 100     3 3                              33.740   27.843   0.7656   51.232      16.93     0.1973
  tfidf                 100     4 4                              33.808   27.678   0.7772   50.184      48.73     0.3548


AGGREGATED SUMMARY  (mean ± std across 5 folds)
  Encoding                n   MAE mean    ±   SMAPE mean    ±   R² mean    ±   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------
  sentencebert          100     28.808 0.726       23.697 0.208    0.8282 0.0131      30.06     0.2881
  clinicalbert          100     29.041 0.766       23.877 0.319    0.8260 0.0130      41.99     0.1951
  tfidf                 100     33.146 0.814       27.589 0.193    0.7883 0.0162      16.91     0.2093
  count                 100     33.148 0.827       27.544 0.282    0.7878 0.0161      18.95     0.2090
  label                 100     33.931 0.757       28.243 0.194    0.7799 0.0152      18.54     0.2730
  only_structured    struct     36.154 0.850       29.929 0.577    0.7558 0.0155       8.10     0.2580
