================================================================================
  MODEL: RIDGE  |  CV: TEMPORAL
================================================================================

PER-FOLD RESULTS
  Encoding                n  Fold FoldLabel                         MAE    SMAPE       R²     RMSE   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------------------
  clinicalbert          100     0 0                              41.227   39.349   0.7334   58.700       0.01     0.0018
  clinicalbert          100     1 1                              40.569   41.377   0.7319   57.570       0.04     0.0035
  clinicalbert          100     2 2                              40.350   42.623   0.7328   54.691       0.21     0.0022
  clinicalbert          100     3 3                              41.474   43.297   0.6993   58.019       0.04     0.0019
  clinicalbert          100     4 4                              42.272   40.159   0.6972   58.503       0.05     0.0018
  count                 100     0 0                              42.826   40.072   0.7113   61.082       0.01     0.0018
  count                 100     1 1                              42.095   42.630   0.7117   59.699       0.02     0.0016
  count                 100     2 2                              41.851   43.903   0.7071   57.267       0.22     0.0021
  count                 100     3 3                              42.897   43.535   0.6752   60.301       0.04     0.0023
  count                 100     4 4                              43.657   40.877   0.6781   60.319       0.05     0.0019
  label                 100     0 0                              43.049   40.079   0.7039   61.863       0.01     0.0019
  label                 100     1 1                              42.079   42.330   0.7111   59.759       0.02     0.0017
  label                 100     2 2                              42.572   44.665   0.6967   58.275       0.22     0.0020
  label                 100     3 3                              43.342   43.944   0.6685   60.925       0.05     0.0023
  label                 100     4 4                              43.780   41.100   0.6773   60.394       0.05     0.0027
  only_structured    struct     0 0                              47.056   42.475   0.6645   65.850       0.00     0.0006
  only_structured    struct     1 1                              46.547   45.507   0.6617   64.666       0.01     0.0006
  only_structured    struct     2 2                              46.720   47.173   0.6439   63.144       0.05     0.0007
  only_structured    struct     3 3                              47.711   46.530   0.6123   65.883       0.01     0.0007
  only_structured    struct     4 4                              48.329   43.668   0.6169   65.801       0.01     0.0007
  sentencebert          100     0 0                              41.475   39.295   0.7301   59.069       0.01     0.0019
  sentencebert          100     1 1                              40.995   41.782   0.7283   57.950       0.02     0.0018
  sentencebert          100     2 2                              41.321   43.489   0.7201   55.976       0.23     0.0022
  sentencebert          100     3 3                              42.203   44.350   0.6932   58.604       0.04     0.0032
  sentencebert          100     4 4                              42.290   39.997   0.6993   58.298       0.36     0.0031
  tfidf                 100     0 0                              42.868   40.071   0.7103   61.188       0.01     0.0017
  tfidf                 100     1 1                              42.208   42.648   0.7096   59.916       0.02     0.0020
  tfidf                 100     2 2                              41.956   43.897   0.7047   57.501       0.03     0.0019
  tfidf                 100     3 3                              42.935   43.203   0.6732   60.485       0.04     0.0018
  tfidf                 100     4 4                              43.668   40.746   0.6753   60.576       0.05     0.0018


AGGREGATED SUMMARY  (mean ± std across 5 folds)
  Encoding                n   MAE mean    ±   SMAPE mean    ±   R² mean    ±   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------
  clinicalbert          100     41.178 0.765       41.361 1.646    0.7189 0.0189       0.07     0.0022
  sentencebert          100     41.657 0.567       41.783 2.173    0.7142 0.0169       0.13     0.0024
  count                 100     42.665 0.716       42.203 1.669    0.6967 0.0184       0.07     0.0019
  tfidf                 100     42.727 0.673       42.113 1.635    0.6946 0.0187       0.03     0.0018
  label                 100     42.964 0.662       42.423 1.910    0.6915 0.0180       0.07     0.0021
  only_structured    struct     47.273 0.740       45.071 1.965    0.6399 0.0244       0.02     0.0007
