================================================================================
  MODEL: XGBOOST  |  CV: TEMPORAL
================================================================================

PER-FOLD RESULTS
  Encoding                n  Fold FoldLabel                         MAE    SMAPE       R²     RMSE   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------------------
  clinicalbert          100     0 0                              28.863   23.231   0.8361   46.023       3.84     0.1551
  clinicalbert          100     1 1                              27.856   23.289   0.8425   44.116       7.34     0.2136
  clinicalbert          100     2 2                              26.941   22.507   0.8516   40.756       9.62     0.1270
  clinicalbert          100     3 3                              28.025   22.624   0.8225   44.575       5.62     0.1904
  clinicalbert          100     4 4                              28.412   22.647   0.8255   44.409      12.86     0.1592
  count                 100     0 0                              32.014   26.029   0.8101   49.545       3.98     0.0882
  count                 100     1 1                              30.325   25.477   0.8212   47.017      74.98     0.6047
  count                 100     2 2                              29.809   25.026   0.8197   44.928       6.05     0.2004
  count                 100     3 3                              30.853   24.975   0.7918   48.283       5.03     0.2191
  count                 100     4 4                              31.054   24.831   0.7989   47.676       9.25     0.2691
  label                 100     0 0                              33.219   26.898   0.7974   51.178      12.86     0.4677
  label                 100     1 1                              30.932   25.807   0.8141   47.932       8.93     0.3287
  label                 100     2 2                              31.143   25.976   0.8023   47.049      18.99     0.5857
  label                 100     3 3                              31.888   25.692   0.7800   49.630      12.50     0.1031
  label                 100     4 4                              31.949   25.536   0.7877   48.983      11.58     0.1778
  only_structured    struct     0 0                              37.330   30.647   0.7654   55.066       5.44     0.1460
  only_structured    struct     1 1                              35.378   29.789   0.7754   52.691       6.83     0.1534
  only_structured    struct     2 2                              34.813   29.328   0.7672   51.049      20.74     0.0407
  only_structured    struct     3 3                              35.769   29.244   0.7416   53.786      10.51     0.1427
  only_structured    struct     4 4                              36.046   29.259   0.7503   53.128       4.78     0.1660
  sentencebert          100     0 0                              28.485   22.955   0.8392   45.595       5.26     0.1820
  sentencebert          100     1 1                              27.461   23.008   0.8464   43.569       6.31     0.1525
  sentencebert          100     2 2                              27.281   22.905   0.8490   41.113      13.72     0.1936
  sentencebert          100     3 3                              27.797   22.467   0.8245   44.323       7.19     0.1208
  sentencebert          100     4 4                              28.454   22.714   0.8256   44.402      13.32     0.1044
  tfidf                 100     0 0                              32.319   26.471   0.8093   49.648       2.09     0.0793
  tfidf                 100     1 1                              30.265   25.347   0.8215   46.973       8.03     0.1969
  tfidf                 100     2 2                              29.834   25.085   0.8211   44.754       8.15     0.1658
  tfidf                 100     3 3                              30.645   24.779   0.7927   48.177       7.09     0.1527
  tfidf                 100     4 4                              30.882   24.794   0.8017   47.338      16.70     0.1650


AGGREGATED SUMMARY  (mean ± std across 5 folds)
  Encoding                n   MAE mean    ±   SMAPE mean    ±   R² mean    ±   Train(s)   Infer(s)
  -------------------------------------------------------------------------------------------------------
  sentencebert          100     27.896 0.556       22.810 0.221    0.8369 0.0115       9.16     0.1507
  clinicalbert          100     28.019 0.717       22.860 0.370    0.8357 0.0120       7.86     0.1691
  tfidf                 100     30.789 0.943       25.295 0.697    0.8093 0.0125       8.41     0.1519
  count                 100     30.811 0.829       25.267 0.489    0.8083 0.0128      19.86     0.2763
  label                 100     31.826 0.898       25.982 0.537    0.7963 0.0132      12.97     0.3326
  only_structured    struct     35.867 0.940       29.653 0.599    0.7600 0.0137       9.66     0.1298
